State, Annual Rainfall
Andaman & Nicobar,-7.77
Andhra Pradesh,1.31
Arunachal Pradesh,-3.63
Assam,-2.96
Bihar,1.41
Chhattisgarh,-2.03
Delhi,-0.51
Goa,-3.82
Gujarat,1.41
Haryana,0.45
Himachal Pradesh,-3.26
Jammu & Kashmir,2.13
Jharkhand,0.84
Karnataka,-0.05
Kerala,-1.43
Lakshadweep,3.22
Madhya Pradesh,-1.81
Maharashtra,-0.71
Manipur,1.94
Meghalaya,14.68
Mizoram ,0.33
Nagaland ,-1.86
Orissa ,0.69
Punjab,-2.41
Rajasthan,0.04
Sikkim,-3.12
Tamil Nadu,0.8
Tripura,0.77
Uttar Pradesh,-4.42
Uttarakhand,-1.07
West Bengal,3.63
